wordcount,stem_g_similarity,stem_j_similarity,stem_c_similarity,stem_ordered_g_similarity,stem_ordered_j_similarity,stem_ordered_c_similarity,q_stemmed_has_bulb,q_stemmed_has_light,q_stemmed_has_bulb_light,q_stem_ordered_has_bulb,q_stem_ordered_has_light,q_stem_ordered_has_bulb_light
0.33333333333333337,1.0,0.6666666666666666,0.8165,1.0,0.6666666666666666,0.8165,1,1,0,1,1,1
0.16666666666666666,0.5,0.5,0.7071,0.5,0.5,0.7071,0,1,0,0,1,0
0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0,0,0,0,0,0
0.33333333333333337,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1
0.16666666666666666,0.5,0.0,0.0,0.5,0.0,0.0,0,0,0,0,0,0
0.16666666666666666,0.6666666666666666,0.3333333333333333,0.5,0.6666666666666666,0.3333333333333333,0.5,0,1,0,0,1,0
0.16666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
0.16666666666666666,0.6666666666666666,0.3333333333333333,0.5,0.6666666666666666,0.3333333333333333,0.5,1,0,0,1,0,0
0.16666666666666666,0.5,0.0,0.0,0.5,0.0,0.0,0,0,0,0,0,0
0.33333333333333337,1.0,0.6666666666666666,0.8165,1.0,0.6666666666666666,0.8165,1,1,0,1,1,1
0.33333333333333337,1.0,0.6666666666666666,0.8165,1.0,0.6666666666666666,0.8165,1,1,0,1,1,1
0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0,0,0,0,0,0
0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0,0,0,0,0,0
0.16666666666666666,0.5,0.0,0.0,0.5,0.0,0.0,0,0,0,0,0,0
0.33333333333333337,1.0,0.6666666666666666,0.8165,1.0,0.6666666666666666,0.8165,1,1,0,1,1,0
0.33333333333333337,0.75,0.25,0.4082,0.75,0.25,0.4082,0,1,0,0,1,0
0.8333333333333334,1.0,0.3333333333333333,0.5774,1.0,0.3333333333333333,0.5774,1,1,0,1,1,0
0.16666666666666666,0.5,0.0,0.0,0.5,0.0,0.0,0,0,0,0,0,0
0.5,0.6666666666666666,0.0,0.0,0.6666666666666666,0.0,0.0,0,0,0,0,0,0
0.16666666666666666,0.6666666666666666,0.3333333333333333,0.5,0.6666666666666666,0.3333333333333333,0.5,0,1,0,0,1,0
0.33333333333333337,1.0,0.6666666666666666,0.8165,1.0,0.6666666666666666,0.8165,1,1,0,1,1,1
0.16666666666666666,0.6666666666666666,0.3333333333333333,0.5,0.6666666666666666,0.3333333333333333,0.5,0,1,0,0,1,0
0.16666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1
0.33333333333333337,0.75,0.25,0.4082,0.75,0.25,0.4082,0,1,0,0,1,0
0.33333333333333337,0.75,0.25,0.4082,0.75,0.25,0.4082,0,1,0,0,1,0
0.33333333333333337,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1
0.16666666666666666,0.6666666666666666,0.3333333333333333,0.5,0.6666666666666666,0.3333333333333333,0.5,0,1,0,0,1,0
0.9999999999999999,0.8571428571428571,0.14285714285714285,0.2887,0.8571428571428571,0.14285714285714285,0.2887,0,1,0,0,1,0
0.33333333333333337,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1
0.33333333333333337,1.0,0.6666666666666666,0.8165,1.0,0.6666666666666666,0.8165,1,1,0,1,1,1
0.6666666666666666,1.0,0.5,0.7071,1.0,0.5,0.7071,1,1,0,1,1,1
0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0,0,0,0,0,0
0.16666666666666666,0.6666666666666666,0.3333333333333333,0.5,0.6666666666666666,0.3333333333333333,0.5,0,1,0,0,1,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
0.5,0.6666666666666666,0.0,0.0,0.6666666666666666,0.0,0.0,0,0,0,0,0,0
0.16666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1
