student_answer,teacher_answer,label,question_id
If it show on south east the shadow will be facing north east.,The tree blocks the light from the Sun.,0,71
"In the early afternoon it would look point, north east.",The tree blocks the light from the Sun.,0,71
The tree has a shadow because the tree blocked the sun from hitting the ground.,The tree blocks the light from the Sun.,1,71
"There is a shadow there because the sun is behind it and light cannot go through solid objects. Note, I think that question was kind of dumb.",The tree blocks the light from the Sun.,1,71
Because the sun is over it.,The tree blocks the light from the Sun.,0,71
Because the tree is of front.,The tree blocks the light from the Sun.,0,71
Because the sun hits the tree with light and part of the tree is breaking it creates a shadow.,The tree blocks the light from the Sun.,1,71
Because everything has a shadow and because of the sun.,The tree blocks the light from the Sun.,0,71
The sun goes over us and we go around.,The tree blocks the light from the Sun.,0,71
So it could look like a shadow to us.,The tree blocks the light from the Sun.,0,71
Because the sun is hitting the tree and it is making a shadow.,The tree blocks the light from the Sun.,0,71
Because the sun is up.,The tree blocks the light from the Sun.,0,71
The object of the shadow is blocking light so there would be a shadow.,The tree blocks the light from the Sun.,0,71
"Because the sun is hitting at an object, and making a shadow.",The tree blocks the light from the Sun.,1,71
The tree is blocking the sun rays.,The tree blocks the light from the Sun.,1,71
Because the sun is on the east part and the trees block the sun.,The tree blocks the light from the Sun.,1,71
Because it is an object and it covers part of the sun's brightness.,The tree blocks the light from the Sun.,0,71
Because when an opaque object stands in the way of light the shadow is what replaces the light that should have been there.,The tree blocks the light from the Sun.,0,71
Because the tree is in the sun's way so it will cast off a shadow.,The tree blocks the light from the Sun.,1,71
Because it either has the light on it or some kind of light on it.,The tree blocks the light from the Sun.,0,71
"The tree in this picture has a shadow because the tree is something that can be reflected to the ground by the sun, and in this picture, the sun is out.",The tree blocks the light from the Sun.,0,71
It has a shadow because the sun is facing one part of the tree and the dark part of the tree becomes a shadow.,The tree blocks the light from the Sun.,0,71
The tree in the picture below has a shadow because the light hits the object and why there a shadow is because the light is being blocked off from front on back of the object.,The tree blocks the light from the Sun.,0,71
Because the sun is going on it and it is blocking the light.,The tree blocks the light from the Sun.,1,71
"Because when a substance of an object blocks light, it creates a shadow.",The tree blocks the light from the Sun.,0,71
Because the tree is blocking the sunshine.,The tree blocks the light from the Sun.,1,71
Because the tree is an object that is blocking the light.,The tree blocks the light from the Sun.,0,71
Because it blocks the light source that is trying to get through.,The tree blocks the light from the Sun.,1,71
Because the sun is up.,The tree blocks the light from the Sun.,0,71
Because the sun is behind the tree and the shadow is in front of it.,The tree blocks the light from the Sun.,0,71
The tree has a shadow because there is a sun.,The tree blocks the light from the Sun.,0,71
The tree has a shadow because it is an object that block a light.,The tree blocks the light from the Sun.,0,71
The tree shown in the picture has a shadow because tree blocked the light of the sun.,The tree blocks the light from the Sun.,1,71
It has a shadow because the tree is blocking the light from getting away.,The tree blocks the light from the Sun.,0,71
The tree is an object blocking the sun so it has a shadow.,The tree blocks the light from the Sun.,1,71
The tree has a shadow because it is blocking the sun's light.,The tree blocks the light from the Sun.,1,71
The tree blocks the light from the Sun.,The tree blocks the light from the Sun.,1,71
